OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
1314518,Debris Burning,WV,11/13/2005,11/13/2005,2005,32,37.86639595,-81.25004422,0
1314519,Debris Burning,WV,11/13/2005,11/13/2005,2005,0.5,37.89688222,-81.15964486,0
1314520,Equipment Use,WV,11/11/2005,11/11/2005,2005,0.1,37.31047666,-81.2552558,0
1314521,Arson,WV,11/12/2005,11/12/2005,2005,7,37.39436203,-80.97436577,0
1314522,Arson,WV,11/12/2005,11/12/2005,2005,5,37.39311893,-80.94901482,0
1314523,Arson,WV,11/12/2005,11/12/2005,2005,57,37.39588185,-80.96140665,0
1314524,Arson,WV,11/12/2005,11/13/2005,2005,3,37.33299409,-81.08606271,1
1314525,Arson,WV,11/13/2005,11/13/2005,2005,0.1,37.31643341,-81.31564412,0
1314526,Debris Burning,WV,11/15/2005,11/16/2005,2005,64,37.31936666,-81.02493156,1
1314527,Arson,WV,11/13/2005,11/13/2005,2005,0.1,37.8665064,-81.24896451,0
1314528,Debris Burning,WV,11/12/2005,11/12/2005,2005,0.3,37.62088574,-81.0938158,0
1314529,Debris Burning,WV,11/20/2005,11/20/2005,2005,0.1,37.63000431,-80.96811981,0
1314530,Equipment Use,WV,11/19/2005,11/19/2005,2005,0.2,37.33305866,-81.20294282,0
1314531,Debris Burning,WV,11/19/2005,11/19/2005,2005,0.5,37.29791289,-81.1623419,0
1314532,Arson,WV,11/20/2005,11/20/2005,2005,0.1,37.40423809,-81.07517273,0
1314533,Arson,WV,11/20/2005,11/20/2005,2005,35,37.47341557,-81.31975247,0
1314534,Debris Burning,WV,11/27/2005,11/27/2005,2005,1,37.71855096,-81.15000255,0
